gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift,curated_biological_themes,has_curated_theme_support
FOXN3,1,1,0,0.8846,0.8711,-0.0135,ENSG00000053254,FOXN3,1,0,shared,shared,stable,same_rank,0,0.0135,,False
DACH1,2,7,5,0.8412,0.8204,-0.0209,ENSG00000276644,DACH1,1,-5,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,5,0.0209,,False
NDUFB2,3,18,15,0.8312,0.7672,-0.0639,ENSG00000090266,NDUFB2,1,-15,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0639,mitochondrial_function;oxidative_phosphorylation,True
ETV1,4,34,30,0.8241,0.7375,-0.0866,ENSG00000006468,ETV1,1,-30,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,30,0.0866,,False
NEUROD1,5,39,34,0.8185,0.7195,-0.0989,ENSG00000162992,NEUROD1,1,-34,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,34,0.0989,beta_cell_biology;known_t2d_gwas_or_monogenic;pancreatic_development,True
INSR,6,6,0,0.8175,0.8328,0.0153,ENSG00000171105,INSR,1,0,shared,shared,stable,same_rank,0,0.0153,insulin_signalling;known_t2d_gwas_or_monogenic,True
GAD1,7,5,-2,0.8134,0.8365,0.023,ENSG00000128683,GAD1,1,2,shared,shared,stable,DNABERT2_ranked_higher,2,0.023,beta_cell_biology;known_t2d_gwas_or_monogenic,True
CPEB3,8,23,15,0.8088,0.759,-0.0498,ENSG00000107864,CPEB3,1,-15,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,15,0.0498,,False
TSHZ3,9,44,35,0.8087,0.7119,-0.0968,ENSG00000121297,TSHZ3,1,-35,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,35,0.0968,,False
DYRK2,10,4,-6,0.8058,0.8432,0.0374,ENSG00000127334,DYRK2,1,6,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,6,0.0374,,False
NDUFV1,11,13,2,0.8046,0.7829,-0.0218,ENSG00000167792,NDUFV1,1,-2,shared,shared,stable,DNABERT2_ranked_lower,2,0.0218,mitochondrial_function;oxidative_phosphorylation,True
ADRB1,12,24,12,0.7989,0.7556,-0.0434,ENSG00000043591,ADRB1,1,-12,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0434,,False
CACNA1D,13,2,-11,0.7985,0.8604,0.0619,ENSG00000157388,CACNA1D,1,11,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,11,0.0619,beta_cell_biology;known_t2d_gwas_or_monogenic,True
HHEX,14,26,12,0.7984,0.7533,-0.0452,ENSG00000152804,HHEX,1,-12,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,12,0.0452,known_t2d_gwas_or_monogenic,True
TCF12,15,17,2,0.7982,0.773,-0.0252,ENSG00000140262,TCF12,1,-2,shared,shared,stable,DNABERT2_ranked_lower,2,0.0252,,False
DNMT3A,16,27,11,0.7939,0.7515,-0.0424,ENSG00000119772,DNMT3A,1,-11,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,11,0.0424,,False
BCL11B,17,15,-2,0.7893,0.7766,-0.0127,ENSG00000127152,BCL11B,1,2,shared,shared,stable,DNABERT2_ranked_higher,2,0.0127,,False
MEIS1,18,14,-4,0.7875,0.7804,-0.0071,ENSG00000143995,MEIS1,1,4,shared,shared,stable,DNABERT2_ranked_higher,4,0.0071,,False
GALNT10,21,16,-5,0.7723,0.775,0.0027,ENSG00000164574,GALNT10,1,5,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0027,,False
ATP1A2,22,43,21,0.7723,0.713,-0.0593,ENSG00000018625,ATP1A2,1,-21,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,21,0.0593,,False
NFAT5,24,12,-12,0.7651,0.784,0.0189,ENSG00000102908,NFAT5,1,12,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,12,0.0189,,False
IGF2BP2,25,50,25,0.7645,0.688,-0.0765,ENSG00000073792,IGF2BP2,1,-25,shared,shared,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,25,0.0765,known_t2d_gwas_or_monogenic,True
RHBDL3,27,21,-6,0.7618,0.7625,0.0006,ENSG00000141314,RHBDL3,0,6,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,6,0.0006,,False
ISL1,28,42,14,0.7614,0.7142,-0.0472,ENSG00000016082,ISL1,1,-14,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,14,0.0472,beta_cell_biology;pancreatic_development,True
ADCY9,31,9,-22,0.7568,0.7911,0.0342,ENSG00000162104,ADCY9,1,22,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0342,,False
ZC3H12C,32,40,8,0.7547,0.7194,-0.0353,ENSG00000149289,ZC3H12C,1,-8,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,8,0.0353,,False
PTPRM,33,20,-13,0.7514,0.7627,0.0114,ENSG00000173482,PTPRM,1,13,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0114,,False
ACADS,34,32,-2,0.7508,0.7443,-0.0065,ENSG00000122971,ACADS,1,2,shared,shared,stable,DNABERT2_ranked_higher,2,0.0065,,False
CCDC6,35,10,-25,0.743,0.7885,0.0455,ENSG00000108091,CCDC6,0,25,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,25,0.0455,,False
SCD5,36,31,-5,0.7419,0.7455,0.0036,ENSG00000145284,SCD5,1,5,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,5,0.0036,lipid_metabolism,True
TFAP2B,40,41,1,0.7277,0.7194,-0.0083,ENSG00000008196,TFAP2B,1,-1,shared,shared,stable,DNABERT2_ranked_lower,1,0.0083,,False
PAXIP1,41,11,-30,0.7236,0.7868,0.0632,ENSG00000157212,PAXIP1,0,30,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,30,0.0632,,False
PPP2R2C,43,49,6,0.7163,0.6909,-0.0254,ENSG00000074211,PPP2R2C,1,-6,shared,shared,small_down_by_DNABERT2,DNABERT2_ranked_lower,6,0.0254,,False
MRC2,44,22,-22,0.7144,0.7597,0.0452,ENSG00000011028,MRC2,1,22,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,22,0.0452,,False
FAXC,45,8,-37,0.7118,0.8048,0.093,ENSG00000146267,FAXC,0,37,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,37,0.093,,False
NT5C2,47,28,-19,0.7102,0.7508,0.0406,ENSG00000076685,NT5C2,1,19,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,19,0.0406,,False
PDX1,48,47,-1,0.707,0.7017,-0.0053,ENSG00000139515,PDX1,1,1,shared,shared,stable,DNABERT2_ranked_higher,1,0.0053,beta_cell_biology;known_t2d_gwas_or_monogenic;pancreatic_development,True
L3MBTL3,49,36,-13,0.7058,0.728,0.0222,ENSG00000198945,L3MBTL3,1,13,shared,shared,small_up_by_DNABERT2,DNABERT2_ranked_higher,13,0.0222,,False
PRDM5,50,30,-20,0.7008,0.7493,0.0484,ENSG00000138738,PRDM5,1,20,shared,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,20,0.0484,,False
